                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45495,                0.27497,                0.88018,                0.97956,                0.97227,                0.98549,                0.90686,                0.45413,                0.26746,                 0.8532,              0.0033143,              0.0033143,              0.0033143
                      2,                0.49481,                0.31574,                 0.8957,                0.96865,                0.96568,                0.98864,                0.89309,                0.48105,                  0.323,                0.86362,              0.0065818,              0.0065818,              0.0065818
                      3,                0.56199,                0.41749,                 0.9265,                0.86453,                0.86642,                 0.9212,                0.76845,                0.65832,                0.60125,                0.95721,              0.0097833,              0.0097833,              0.0097833
                      4,                0.66103,                0.56533,                0.97701,                0.88265,                0.85722,                0.92481,                0.76022,                0.68487,                0.61773,                0.97435,               0.009703,               0.009703,               0.009703
                      5,                0.67276,                0.56036,                0.98186,                0.79112,                 0.7668,                0.85696,                0.68781,                 0.7407,                0.86356,                0.99576,               0.009604,               0.009604,               0.009604
                      6,                0.67236,                0.55443,                0.98115,                0.81673,                0.81619,                0.88392,                0.69941,                0.78699,                0.72408,                 1.0455,               0.009505,               0.009505,               0.009505
                      7,                0.66901,                0.55374,                0.97898,                0.89601,                0.88654,                 0.9401,                0.79228,                0.64193,                0.55159,                0.94693,               0.009406,               0.009406,               0.009406
                      8,                0.65886,                0.54179,                0.97378,                0.85345,                0.81847,                0.89692,                0.73285,                0.71579,                0.72721,                0.97975,               0.009307,               0.009307,               0.009307
                      9,                0.65954,                0.53241,                0.97227,                0.89929,                0.90491,                 0.9546,                 0.8037,                0.63616,                0.51708,                0.93749,               0.009208,               0.009208,               0.009208
                     10,                0.65537,                0.52358,                 0.9766,                0.87495,                0.83833,                0.90709,                0.73985,                0.73717,                0.62982,                 1.0076,               0.009109,               0.009109,               0.009109
                     11,                0.64994,                0.52392,                0.97195,                0.90284,                0.86882,                0.93721,                 0.7907,                0.62955,                0.56485,                0.93659,                0.00901,                0.00901,                0.00901
