                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46203,                0.27949,                0.88468,                0.98601,                0.97793,                0.99309,                0.92837,                0.40189,                0.24598,                0.83143,              0.0033143,              0.0033143,              0.0033143
                      2,                0.48901,                0.31371,                0.89621,                0.93031,                0.91771,                0.95925,                0.82596,                0.59886,                0.40819,                0.94763,              0.0065818,              0.0065818,              0.0065818
                      3,                0.56786,                0.42562,                 0.9311,                0.87527,                0.81209,                0.90857,                0.73191,                0.74219,                0.66698,                0.99556,              0.0097833,              0.0097833,              0.0097833
                      4,                0.65042,                0.55643,                0.97335,                0.80992,                0.73766,                0.81078,                0.64881,                0.72141,                 1.0365,                 1.0145,               0.009703,               0.009703,               0.009703
                      5,                0.66703,                0.57089,                0.98022,                0.84324,                0.82538,                0.90169,                0.74939,                0.67161,                0.66449,                0.97126,               0.009604,               0.009604,               0.009604
                      6,                0.66858,                0.56101,                0.97927,                0.83429,                0.79524,                0.88155,                0.69759,                0.75912,                0.73448,                 1.0304,               0.009505,               0.009505,               0.009505
                      7,                0.67325,                0.56503,                0.98227,                0.89753,                0.86638,                0.93906,                0.77853,                 0.6635,                0.57998,                0.95771,               0.009406,               0.009406,               0.009406
                      8,                0.66355,                0.55382,                0.97939,                0.85306,                0.82333,                0.89282,                0.70928,                0.77372,                0.68769,                 1.0349,               0.009307,               0.009307,               0.009307
                      9,                0.66254,                 0.5341,                0.97801,                 0.8742,                0.86043,                0.92084,                0.75985,                0.67833,                0.59937,                0.97484,               0.009208,               0.009208,               0.009208
                     10,                 0.6561,                0.53215,                0.97457,                0.85845,                0.81971,                0.89902,                 0.7177,                0.77072,                0.67983,                 1.0292,               0.009109,               0.009109,               0.009109
                     11,                 0.6595,                0.52656,                0.97741,                0.84622,                0.78192,                0.85459,                0.67185,                 0.8766,                0.77583,                 1.1141,                0.00901,                0.00901,                0.00901
