                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45831,                0.27822,                0.88583,                0.99179,                0.98539,                0.99409,                0.93013,                 0.4039,                0.23631,                0.82965,              0.0033143,              0.0033143,              0.0033143
                      2,                0.49244,                0.32096,                0.89936,                0.94925,                0.94806,                0.98061,                0.87617,                0.51393,                 0.3485,                0.88544,              0.0065818,              0.0065818,              0.0065818
                      3,                0.56331,                0.42225,                0.92986,                0.65277,                0.56669,                0.63272,                0.48752,                0.88202,                 1.4716,                 1.0858,              0.0097833,              0.0097833,              0.0097833
                      4,                0.65764,                0.56192,                0.97847,                0.85588,                0.83133,                0.90213,                0.72063,                0.77655,                0.65799,                 1.0308,               0.009703,               0.009703,               0.009703
                      5,                0.66206,                0.57057,                0.98013,                0.80478,                0.71207,                0.81684,                0.65135,                0.76297,                0.97256,                 1.0244,               0.009604,               0.009604,               0.009604
                      6,                0.67161,                0.56433,                0.98181,                0.81421,                0.79327,                0.87076,                 0.7179,                0.71515,                0.74596,                0.99634,               0.009505,               0.009505,               0.009505
                      7,                0.66799,                0.55813,                0.98017,                0.90045,                0.85797,                0.93307,                0.77124,                0.68558,                0.59382,                0.96899,               0.009406,               0.009406,               0.009406
                      8,                 0.6636,                0.54662,                0.97861,                0.82989,                0.81329,                0.89033,                0.71209,                0.74585,                0.71078,                  1.013,               0.009307,               0.009307,               0.009307
                      9,                0.65894,                0.53055,                 0.9786,                0.85187,                0.80735,                0.87225,                0.68064,                0.81355,                0.79977,                 1.0545,               0.009208,               0.009208,               0.009208
                     10,                0.65094,                0.52635,                0.97261,                0.90906,                0.87356,                0.94776,                 0.7967,                0.64383,                0.53898,                0.95531,               0.009109,               0.009109,               0.009109
                     11,                0.65792,                0.53214,                0.97806,                0.74899,                 0.7267,                0.79254,                0.62288,                0.86156,                0.97341,                 1.0905,                0.00901,                0.00901,                0.00901
